group,model,feature_set,fold,best_inner_auc,best_params
adults,SVM,top10,0,0.8084145243100123,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,top10,1,0.770149856452803,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,top10,2,0.816922796100973,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,top10,3,0.8063595206205704,"{""clf__C"": 0.5, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
adults,SVM,top10,4,0.8239665299402867,"{""clf__C"": 0.5, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
adults,SVM,top10,5,0.816669805792734,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,top10,6,0.7911709172758896,"{""clf__C"": 0.5, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
adults,SVM,top10,7,0.7685677756695252,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,top10,8,0.805607874323344,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
adults,SVM,top10,9,0.7892137884368547,"{""clf__C"": 2.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
